Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
512141,"Acumen Trading & Investments Ltd.,",ZACUMTRD,ACUMEN TRADING & INVESTMENTS LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512143,"Wall Street Construction Ltd.,",ZWALCONS,WALL STREET CONSTRUCTION LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512145,Credential Finance Ltd,CREDNFN,CREDENTIAL FINANCE LTD.,Delisted,P ,10.00,NA          ,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512147,Kajal Synthetics and Silk Mills Ltd,KAJALSY,KAJAL SYNTHETICS & SILK MILLS LTD.,Suspended,P ,10.00,INE956V01011,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512149,Avance Technologies Ltd.,AVANCE,AVANCE TECHNOLOGIES LTD.,Suspended,XT,10.00,INE758A01056,IT Software Products,Equity,Information Technology,Software & Services,IT Software & Services,Software Products,
512153,M LAKHAMSI INDUSTRIES LIMITED,MLINDLTD,M Lakhamsi Industries Ltd,Active,XT,10.00,INE808W01012,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512157,Terraform Realstate Limited,TERRAREAL,Terraform Realstate Limited,Active,P ,10.00,INE123V01018,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512161,SECUREKLOUD TECHNOLOGIES LIMITED,SECURKLOUD,Securekloud Technologies Ltd,Active,B ,5.00,INE650K01021,Internet Software & Services,Equity,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services,
512163,"Extol Commercial Ltd.,",EXTCO,EXTOL COMMERCIAL LTD.,Delisted,ZP,10.00,INE670D01016,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512165,ABans Enterprises Limited,ABANSENT,Abans Enterprises Ltd,Active,X ,10.00,INE365O01010,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512167,Matra Realty Ltd,MATRAREAL,MATRA REALTY LTD.,Suspended,Z ,5.00,INE190E01021,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512169,Capricorn Systems Global Solutions Ltd.,CAPRICORN,CAPRICORN SYSTEMS GLOBAL SOLUTIONS LTD.,Active,XT,10.00,INE968E01012,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512173,"Park Avenue Engineering Ltd.,",PARKAVN,PARK AVENUE ENGINEERING LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512175,Vama Industries Limited,VAMA,VAMA INDUSTRIES LTD.,Active,X ,2.00,INE685D01022,IT Consulting & Software,Equity,Information Technology,Software & Services,IT Software & Services,IT Consulting & Application Software,
512177,"Cherry Mercantile Co. Ltd.,",CHMERCN,CHERRY MERCANTILE CO.LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512179,Sunteck Realty Ltd,SUNTECK,SUNTECK REALTY LTD.,Active,A ,1.00,INE805D01034,Realty,Equity,CDGS (Consumer Discretionary Goods & Services),Realty,Realty,Realty,
512183,"Harisiddha Trading & Finance Ltd.,",HARTF,HARISIDDHA TRADING & FINANCE LTD.,Delisted,Z ,10.00,INE596C01015,-,Equity,-,-,-,-,
512185,IOL Netcom Ltd,IOLN,IOL NETCOM LTD.,Delisted,T ,10.00,INE517C01011,Internet Software & Services,Equity,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services,
512187,"Greenfield Industreis Ltd.,",GRFINDL,GREENFIELD INDUSTRIES LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512189,Prem Kutir Estates & Properties Ltd,PREMKUT,PREM KUTIR ESTATES & PROPERTIES LTD.,Delisted,P ,10.00,NA          ,Realty,Equity,CDGS (Consumer Discretionary Goods & Services),Realty,Realty,Realty,
512191,Mishka Finance and Trading Limited,MISHKAFIN,MISHKA FINANCE AND TRADING LTD.,Suspended,XT,1.00,INE231N01024,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512193,DCL Securities Limited,ZDCLSECU,DCL SECURITIES LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512195,Bentley Commercial Enterprises Ltd.,BENTCOM,BENTLEY COMMERCIAL ENTERPRISES LTD.,Active,P ,10.00,INE496M01017,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512197,"Silver oak Commercial Ltd.,",SILVERO,SILVER OAK COMMERCIAL LTD.,Active,Z ,10.00,INE798C01017,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512199,CORE Education & Technologies Ltd,COREEDUTEC,CORE Education & Technologies Ltd,Delisted,Z ,2.00,INE247G01024,IT Software Products,Equity,Information Technology,Software & Services,IT Software & Services,Software Products,
512205,"Vatsa Educations Ltd.,",VATSAEDU,VATSA EDUCATIONS LTD.,Delisted,X ,1.00,INE815A01021,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512207,Effingo Textile & Trading Limited,EFFTXT,Effingo Textile & Trading Limited,Suspended,XT,1.00,INE907N01029,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512211,Sangam Exports Co. Ltd.,SANGEXP,SANGAM EXPORTS CO.LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512213,"Classic Electricals Ltd.,",CLASELE,CLASSIC ELECTRICALS LTD.,Active,XT,10.00,INE02BR01017,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512215,STEPHANOTIS FINANCE LIMITED,STEPHANOTIS,Stephanotis Finance Ltd,Active,XT,10.00,INE902L01016,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512217,Prism Medico and Pharmacy Ltd.,PRISMMEDI,PRISM MEDICO AND PHARMACY LTD.,Active,XT,10.00,INE730E01016,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512219,Finaventure Capital Ltd,FINAVENT,FINAVENTURE CAPITAL LTD.,Delisted,Z ,10.00,INE128B01019,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512221,SPV GLOBAL TRADING LIMITED,SPVGLOBAL,SPV Global Trading Ltd,Active,P ,10.00,INE177E01010,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512223,"Simco Trading & Finance Co. Ltd.,",ZSIMCOTR,SIMCO TRADING & FINANCE CO.LTD.,Delisted,P ,10.00,NA          ,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512225,AN Global Limited,ANGLOBA,AN GLOBAL LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512229,Veritas (India) Limited,VERITAS,VERITAS (INDIA) LTD.,Active,XT,1.00,INE379J01029,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512233,Jaybharat Textiles And Real Estate Limited,JAYTEX,JAYBHARAT TEXTILES & REAL ESTATE LTD.,Suspended,Z ,2.00,INE091E01039,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512237,Jai Corp Limited,JAICORPLTD,JAI CORP LTD.,Active,A ,1.00,INE070D01027,Plastic Products,Equity,Industrials,General Industrials,General Industrials,Plastic Products,
512239,Jacqart Chemical Industries Ltd,ZJQARTCH,JACQART CHEMICAL INDUSTRIES LTD.,Delisted,B ,10.00,INE966G01011,-,Equity,-,-,-,-,
512243,Surana Securities Ltd,SURASEC,SURANA SECURITIES LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512245,"Nivi Trading Ltd.,",ZNIVITRD,NIVI TRADING LTD.,Active,P ,10.00,INE552F01011,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512247,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,XT,1.00,INE894A01026,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512253,Meuse Kara & Sungrace Mafatlal Limited,MEUSEKARA,MEUSE KARA & SUNGRACE MAFATLAL LTD.,Delisted,Z ,10.00,INE756D01013,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512255,"Winmore Silk Mills Ltd.,",ZWINMOTR,WINMORE SILK MILLS LTD.,Suspended,P ,10.00,INE869O01011,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512257,Swasti Vinayaka Art And Heritage Corporation Ltd,SVARTCORP,Swasti Vinayaka Art And Heritage Corporation Ltd,Active,X ,1.00,INE895A01023,Diversified,Equity,Diversified,Diversified,Diversified,Diversified,
512261,Bajaj Global Ltd,BAJGLOB,BAJAJ GLOBAL LTD.,Active,XT,10.00,INE553H01015,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512263,"Purva Engineers Ltd.,",ZPURVENGDM,PURVA ENGINEERS LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512265,Avon Mercantile Ltd.,AVONMERC,AVON MERCANTILE LTD.,Suspended,Z ,10.00,INE471D01019,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512267,Media Matrix Worldwide Ltd.,MMWL,MEDIA MATRIX WORLDWIDE LTD.,Active,XT,1.00,INE200D01020,Movies & Entertainment,Equity,CDGS (Consumer Discretionary Goods & Services),Media,Media,Movies & Entertainment,
512269,"Warden Construction & Finance Ltd.,",ZWARDENC,WARDEN CONSTRUCTION & FINANCE LTD.,Delisted,P ,10.00,NA          ,Realty,Equity,CDGS (Consumer Discretionary Goods & Services),Realty,Realty,Realty,
512271,Tashi India Ltd.,TASHIND,TASHI INDIA LTD.,Active,XT,10.00,INE552H01017,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512273,Aroni Commercials Limited,ARONICOMM,ARONI COMMERCIALS LTD.-$,Delisted,X ,10.00,INE484B01016,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512277,Autoriders International Ltd,AUTOINT,AUTORIDERS INTERNATIONAL LTD.,Active,XT,10.00,INE340U01010,Transportation - Logistics,Equity,Industrials,Transportation,Transport Services,Logistics,
512279,N2N Technologies Limited,NNTL,N2N Technologies Limited,Active,Z ,10.00,INE043F01011,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512281,Europlast India Ltd,EUROPLS,EUROPLAST INDIA LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512285,Yuvraj International Ltd.,YUVINTL,YUVRAJ INTERNATIONAL LTD.,Delisted,ZP,10.00,NA          ,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512289,Shirpur Gold Refinery Ltd.,SHIRPUR-G,SHIRPUR GOLD REFINERY LTD.,Suspended,Z ,10.00,INE196B01016,Other Non-Ferrous Metals,Equity,Basic Materials,Metals & Mining,Non-ferrous Metals,Others,
512291,"Speedage Commercials Ltd.,",ZSPEEDCO,SPEEDAGE COMMERCIALS LTD.,Active,P ,10.00,INE497M01015,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512294,Parasrampuria Polyamides Ltd,ZPARAPLY,PARASRAMPURIA POLYAMIDES LTD.,Delisted,P ,10.00,NA          ,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512296,Bhagyanagar India Limited,BHAGYNAGAR,BHAGYANAGAR INDIA LTD.,Active,B ,2.00,INE458B01036,Copper,Equity,Basic Materials,Metals & Mining,Non-ferrous Metals,Copper,
512297,Shantai Industries Limited,SHANTAI,Shantai Industries Ltd,Active,X ,10.00,INE408F01016,Industrial Machinery,Equity,Industrials,Capital Goods,Machinery,Industrial Machinery,
512299,Sterling Biotech Ltd.,STERLINBIO,STERLING BIOTECH LTD.,Suspended,Z ,1.00,INE324C01038,Commodity Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Commodity Chemicals,
512301,Chambal Breweries & Distilleries Li,CHMBBRW,CHAMBAL BREWERIES & DISTILLERIES LTD.,Active,X ,10.00,INE417N01011,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512303,"Mansoon Trading Co. Ltd.,",ZMANSOON,MANSOON TRADING CO.LTD.,Active,P ,10.00,INE776V01013,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512305,"Kaslow Trades & Finance Ltd.,",ZKASLOWTDM,ZKASLOWTDM,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512309,Rosekamal Textiles Ltd.,ROSETEX,ROSEKAMAL TEXTILES LTD.,Delisted,XT,10.00,INE392F01012,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512311,Surabhi Chemicals & Investments Ltd,SURCHIN,SURABHI CHEMICALS & INVESTMENTS LTD.,Suspended,XT,1.00,INE401F01037,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512313,Bijlee Textiles Ltd.,BIJLTEX,BIJLEE TEXTILES LTD.,Delisted,XT,10.00,INE368F01012,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512317,"Netwest Finance Ltd.,",NTWSTFN,NETWEST FINANCE LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512319,"Rajlaxmi Industries Ltd.,",RAJLXIN,RAJLAXMI INDUSTRIES LTD.,Suspended,X ,1.00,INE400O01023,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512327,"Trilochan Traders & Agencies Ltd.,",TRLTRAG,TRILOCHAN TRADERS & AGENCIES LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512329,Kintech Renewables Limited,KRL,Kintech Renewables Ltd,Active,XT,10.00,INE385F01016,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512332,Birla Capital & Financial Services Ltd.,BIRLACAP,BIRLA CAPITAL & FINANCIAL SERVICES LTD.,Suspended,Z ,2.00,INE776E01027,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512335,AVS World Trade Ltd,AVSWLTR,AVS WORLD TRADE LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512337,"Mahashree Trading Ltd.,",MAHSHRE,MAHASHREE TRADING LTD.,Active,P ,10.00,INE924T01013,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512341,CES Limited,CESL,CES Limited,Active,XT,10.00,INE396F01013,BPO/KPO,Equity,Information Technology,Software & Services,IT Software & Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),
512344,"Aravali Securities & Finance Ltd.,",ARAVALIS,ARAVALI SECURITIES & FINANCE LTD.,Active,XT,10.00,INE068C01015,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512345,"Yash Trading & Finance Ltd.,",YASTF,YASH TRADING & FINANCE LTD.,Active,XT,10.00,INE745A01012,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512347,"Leader Packaging Industries Ltd.,",LEADPKG,LEADER PACKAGING INDUSTRIES LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512349,"Linkhouse Industries Ltd.,",LINKH,LINKHOUSE INDUSTRIES LTD.,Suspended,XT,1.00,INE080C01028,Construction & Engineering,Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,
512351,Magico Exports & Consultants Ltd,ZMAGICOE,MAGICO EXPORTS & CONSULTANTS LTD.,Delisted,T ,10.00,NA          ,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512353,Rusoday & Co. Ltd.,RUSODAY,RUSODAY & CO.LTD.,Delisted,P ,10.00,NA          ,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512355,Anukaran Commercial  Enterprises Lt,ZANUKCOM,ANUKARAN COMMERCIAL ENTERPRISES LTD.,Suspended,X ,1.00,INE090G01028,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512357,"Suniti Commercials Ltd.,",ZSUNITCO,SUNITI COMMERCIALS LTD.,Delisted,T ,10.00,NA          ,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512359,Sword-Edge Commercials Limited,SWORDEDGE,Sword-Edge Commercials Limited,Active,XT,1.00,INE093G01022,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512361,"Cupid Trades & Finance Ltd.,",CUPIDTR,CUPID TRADES & FINANCE LTD.,Suspended,XT,10.00,INE108G01010,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512365,"Cosy Mercantile Ltd.,",COSYMER,COSY MERCANTILE LTD.,Delisted,Z ,10.00,NA          ,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512367,"Sheraton Properties & Finance Ltd.,",ZSHERAPR,SHERATON PROPERTIES & FINANCE LTD.,Active,P ,10.00,INE495M01019,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512369,Ennore Coke Limited,ENNORE,ENNORE COKE LTD.,Suspended,XT,10.00,INE755H01016,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512371,"Esquire Engineering Ltd.,",ZESQENGP,ESQUIRE ENGINEERING LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512375,Innoventive Venture Limited,INNOVENT,INNOVENTIVE VENTURE LTD.,Suspended,ZP,10.00,INE322N01013,Investment Companies,Equity,Finance,Other Financial Services,Other Financial Services,Investment Companies,
512377,"Magnanimous Trade & Finance Ltd.,",MAGANTR,MAGNANIMOUS TRADE & FINANCE LTD.,Active,XT,10.00,INE664N01018,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512379,Cressanda Solutions Ltd.,CRESSAN,CRESSANDA SOLUTIONS LTD.,Active,XT,1.00,INE716D01033,IT Software Products,Equity,Information Technology,Software & Services,IT Software & Services,Software Products,
512381,STARTECK FINANCE LIMITED,STARTECK,Starteck Finance Ltd,Active,X ,10.00,INE992I01013,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512383,"Delstar Commercial & Finance Ltd.,",ZDELSTCO,DELSTAR COMMERCIAL & FINANCE LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512387,"Western India Industries Ltd.,",WIINDDM,WESTERN INDIA INDUSTRIES LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512389,Wall Street Housing & Fin.Corp.Ltd,WASTHOU,WALL STREET HOUSING & FINANCE CORP.LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512393,Shardul Securities Ltd.,SHARDUL,SHARDUL SECURITIES LTD.,Active,X ,10.00,INE037B01012,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512397,RATAN GLITTER INDUSTRIES LTD.,RATANGLI,RATAN GLITTER INDUSTRIES LTD.,Delisted,Z ,10.00,INE348E01017,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512399,"Kapashi Commercials Ltd.,",KAPASHI,KAPASHI COMMERCIALS LTD.,Active,X ,10.00,INE017I01019,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512401,"Kaytee Cotsynth Industries Ltd.,",ZKAYTCOT,KAYTEE COTSYNTH INDUSTRIES LTD.,Delisted,P ,10.00,-,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512404,"Bengal Steel Industries Ltd.,",BENGALS,BENGAL STEEL INDUSTRIES LTD.,Active,P ,10.00,INE523W01017,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
512405,i Power Solutions India Ltd.,IPOWER,I-POWER SOLUTIONS INDIA LTD.,Suspended,XT,10.00,INE468F01010,Internet Software & Services,Equity,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services,
512408,Uniworth Securities Limited,UNIWSEC,UNIWORTH SECURITIES LTD.,Active,XT,10.00,INE728J01019,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
512409,Rajsanket Realty Limited,RAJSAN,Rajsanket Realty Limited,Suspended,Z ,10.00,INE314F01016,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512411,"Madalsa Agrotech Limited.,",AUROBRT,MADALSA AGROTECH LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512413,Spectacle Ventures Limited,SPECTACLE,Spectacle Ventures Ltd,Delisted,Z ,1.00,INE409H01028,IT Consulting & Software,Equity,Information Technology,Software & Services,IT Software & Services,IT Consulting & Application Software,
512415,"Mercury Trade Links Ltd.,",MERCTRD,MERCURY TRADE LINKS LTD.,Active,P ,10.00,INE319T01016,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512417,Trinity Tradelink Limited,TRITRADE,TRINITY TRADELINK LIMITED,Suspended,Z ,1.00,INE567D01022,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512419,"Sampark Trading & Finance Ltd.,",ZSAMPKTR,SAMPARK TRADING & FINANCE LTD.,Delisted,P ,10.00,NA          ,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512424,MTZ Polyfilms Ltd.,MTZPOLY,MTZ POLYFILMS LTD.,Delisted,XT,10.00,INE864A01011,Commodity Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Commodity Chemicals,
512425,"Nirav Commercials Ltd.,",NIRAVCOM,NIRAV COMMERCIALS LTD.,Active,X ,10.00,INE242B01018,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512427,"Deora Polytex Ltd.,",DEORAPL,DEORA POLYTEX LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
512429,Nitin Industries Ltd.,NITININ,NITIN INDUSTRIES LTD.,Delisted,P ,10.00,NA          ,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512431,"White Hall Commercial Co.Ltd.,",WHITHAL,WHITE HALL COMMERCIAL CO.LTD.,Suspended,P ,10.00,INE416X01012,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512433,Asutosh Enterprise Ltd.,ASUTENT,ASUTOSH ENTERPRISES LTD.,Active,P ,10.00,INE508W01018,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512437,"Apollo Finvest (India) Ltd.,",APOLLOFI,APOLLO FINVEST (INDIA) LTD.,Active,XT,10.00,INE412D01013,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512439,Esquire Money Guarantees Ltd,ESQRMON,ESQUIRE MONEY GUARANTEES LTD.,Suspended,Z ,10.00,INE0HMN01013,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512441,"Enbee Trade & Finance Ltd.,",ENBETRD,ENBEE TRADE & FINANCE LTD.,Suspended,XT,10.00,INE993I01011,Diversified Commercial Services,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Diversified Commercial Services,
512443,Ganon Products Limited,GANONPRO,Ganon Products Ltd,Active,XT,10.00,INE162L01017,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512445,"Devinsu Trading Ltd.,",DEVITRD,DEVINSU TRADING LTD.,Active,P ,10.00,INE07LH01016,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
512447,Innovision E-Commerce Ltd.,INNOVIS,INNOVISION E-COMMERCE LTD.,Delisted,Z ,1.00,INE880C01021,IT Consulting & Software,Equity,Information Technology,Software & Services,IT Software & Services,IT Consulting & Application Software,
512449,SVC Resources Limited,SVCRES,SVC Resources Limited,Suspended,Z ,10.00,INE254H01044,Mining,Equity,Basic Materials,Metals & Mining,Mining,Mining,
512453,Shri Jagdamba Polymers Ltd,SHRJAGP,SHRI JAGDAMBA POLYMERS LTD.,Active,X ,1.00,INE564J01026,Containers & Packaging,Equity,Industrials,General Industrials,General Industrials,Containers & Packaging,
512455,Lloyds Metals and Energy Limited,LLOYDSME,LLOYDS METALS AND ENERGY LTD.,Active,B ,1.00,INE281B01032,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
512461,"Punctual Trading Ltd.,",PUNCTRD,PUNCTUAL TRADING LTD.,Active,P ,10.00,INE07NX01019,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors,
512463,Shree Global  Tradefin  L t d..,SHRGLTR,SHREE GLOBAL TRADEFIN LTD.,Active,XT,1.00,INE080I01025,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
512465,Santowin Corporation Limited,SANTOWIN,SANTOWIN CORPORATION LTD.,Suspended,Z ,1.00,INE386L01038,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
